station_id,source_dataset,gnodeb_id,cell_id,pci,longitude,latitude,height,azimuth,downtilt,tx_power,status
KG_0034038_4_712,Kaggle5GRootCause,0034038,4,712,128.18827,32.579129,5,50,6,34.9,normal
KG_0033164_27_71,Kaggle5GRootCause,0033164,27,71,128.21763,32.58072,29.7,240,3,34.9,normal
KG_0034038_2_258,Kaggle5GRootCause,0034038,2,258,128.18828,32.579099,5,140,10,34.9,normal
KG_0034038_24_284,Kaggle5GRootCause,0034038,24,284,128.18769,32.57791,56,40,44,34.9,normal
KG_0033164_14_129,Kaggle5GRootCause,0033164,14,129,128.18948,32.581043,28.7,150,20,34.9,normal
KG_0033164_24_368,Kaggle5GRootCause,0033164,24,368,128.18896,32.581776,22.1,235,15,34.9,normal
KG_0034036_14_868,Kaggle5GRootCause,0034036,14,868,128.20065,32.594683,0,0,0,46,normal
KG_0033164_12_151,Kaggle5GRootCause,0033164,12,151,128.19004,32.583484,22,45,6,34.9,normal
KG_0033164_26_307,Kaggle5GRootCause,0033164,26,307,128.18917,32.580984,26.6,60,2,34.9,normal
KG_0000293_0_660,Kaggle5GRootCause,0000293,0,660,128.17581,32.58945,3,192,9,34.9,normal
KG_0034039_3_498,Kaggle5GRootCause,0034039,3,498,128.19193,32.578763,123,290,39,34.9,normal
KG_0034039_4_656,Kaggle5GRootCause,0034039,4,656,128.19239,32.578738,111,255,20,34.9,normal
KG_0033164_5_591,Kaggle5GRootCause,0033164,5,591,128.18699,32.585957,51.1,170,5,34.9,normal
KG_0033286_14_597,Kaggle5GRootCause,0033286,14,597,128.17995,32.574116,56,60,7,34.9,normal
KG_0033164_4_330,Kaggle5GRootCause,0033164,4,330,128.18644,32.584389,52.9,120,14,34.9,normal
KG_0033918_26_338,Kaggle5GRootCause,0033918,26,338,128.2204,32.582273,15.4,310,0,34.9,normal
KG_0033166_25_265,Kaggle5GRootCause,0033166,25,265,128.18977,32.574208,31.1,330,17,34.9,normal
KG_0033918_38_226,Kaggle5GRootCause,0033918,38,226,128.19558,32.586069,15,180,20,34.9,normal
KG_0033917_3_264,Kaggle5GRootCause,0033917,3,264,128.19376,32.576617,31.5,320,13,34.9,normal
KG_0033913_25_793,Kaggle5GRootCause,0033913,25,793,128.20899,32.574724,3,10,16,34.9,normal
KG_0033984_4_480,Kaggle5GRootCause,0033984,4,480,128.19087,32.589488,78,130,10,34.9,normal
KG_0033918_13_441,Kaggle5GRootCause,0033918,13,441,128.19741,32.586605,8.5,180,2,34.9,normal
KG_0033918_53_688,Kaggle5GRootCause,0033918,53,688,128.19326,32.586476,38,60,20,34.9,normal
KG_0033980_38_13,Kaggle5GRootCause,0033980,38,13,128.19866,32.589556,20,295,12,34.9,normal
KG_0033978_12_435,Kaggle5GRootCause,0033978,12,435,128.19572,32.588857,39.2,55,9,34.9,normal
KG_0033317_14_96,Kaggle5GRootCause,0033317,14,96,128.18521,32.579657,25.9,55,10,34.9,normal
KG_0033317_13_217,Kaggle5GRootCause,0033317,13,217,128.1869,32.580639,17.4,0,0,34.9,normal
KG_0033164_29_185,Kaggle5GRootCause,0033164,29,185,128.18529,32.581599,31.6,195,8,34.9,normal
KG_0033162_2_106,Kaggle5GRootCause,0033162,2,106,128.1861,32.566462,34,300,8,34.9,normal
KG_0033918_29_432,Kaggle5GRootCause,0033918,29,432,128.19359,32.584492,44.7,180,11,34.9,normal
KG_0033918_24_983,Kaggle5GRootCause,0033918,24,983,128.19364,32.58222,22.7,350,4,34.9,normal
KG_0033918_28_400,Kaggle5GRootCause,0033918,28,400,128.19356,32.584481,42.7,304,12,34.9,normal
KG_0033918_52_696,Kaggle5GRootCause,0033918,52,696,128.19205,32.582532,18.6,350,7,34.9,normal
KG_0033984_1_767,Kaggle5GRootCause,0033984,1,767,128.1905,32.589411,78,230,10,34.9,normal
KG_0033918_25_477,Kaggle5GRootCause,0033918,25,477,128.194,32.582273,22.7,215,2,34.9,normal
KG_0041363_1_160,Kaggle5GRootCause,0041363,1,160,128.20117,32.569632,0,0,0,46,normal
KG_0033916_0_835,Kaggle5GRootCause,0033916,0,835,128.22684,32.581993,63,291,16,34.9,normal
KG_0033916_5_113,Kaggle5GRootCause,0033916,5,113,128.19861,32.582133,64,215,14,34.9,normal
KG_0033916_27_44,Kaggle5GRootCause,0033916,27,44,128.19709,32.582192,14,330,3,34.9,normal
KG_0033917_26_462,Kaggle5GRootCause,0033917,26,462,128.19469,32.579743,24,110,4,34.9,normal
KG_0033917_15_482,Kaggle5GRootCause,0033917,15,482,128.19471,32.57985,24,310,3,34.9,normal
KG_0033917_40_155,Kaggle5GRootCause,0033917,40,155,128.19377,32.578927,21.9,195,4,34.9,normal
KG_0033984_24_94,Kaggle5GRootCause,0033984,24,94,128.19091,32.590683,64,160,10,34.9,normal
KG_0033237_17_418,Kaggle5GRootCause,0033237,17,418,128.19186,32.587807,51.3,220,15,34.9,normal
KG_0033237_15_333,Kaggle5GRootCause,0033237,15,333,128.1906,32.586624,25.5,170,1,34.9,normal
KG_0033237_4_596,Kaggle5GRootCause,0033237,4,596,128.18818,32.585893,18.6,110,1,34.9,normal
KG_0033166_5_134,Kaggle5GRootCause,0033166,5,134,128.19274,32.577305,23,10,5,34.9,normal
KG_0034038_3_61,Kaggle5GRootCause,0034038,3,61,128.18872,32.577206,36.2,183,11,34.9,normal
KG_0034038_2_1090,Kaggle5GRootCause,0034038,2,1090,128.18797,32.579054,5,140,10,34.9,normal
KG_0033317_16_764,Kaggle5GRootCause,0033317,16,764,128.18691,32.580702,16,217,2,34.9,normal
KG_0000590_53_720,Kaggle5GRootCause,0000590,53,720,128.1778,32.597536,0,0,0,46,normal
KG_0034038_28_729,Kaggle5GRootCause,0034038,28,729,128.18676,32.57687,24,70,8,34.9,normal
KG_0034038_27_732,Kaggle5GRootCause,0034038,27,732,128.18869,32.577204,35.2,260,15,34.9,normal
KG_0033286_58_481,Kaggle5GRootCause,0033286,58,481,128.18711,32.574817,24,320,9,34.9,normal
KG_0034038_26_394,Kaggle5GRootCause,0034038,26,394,128.18679,32.576813,28,240,19,34.9,normal
KG_0034038_0_357,Kaggle5GRootCause,0034038,0,357,128.18743,32.577968,56,179,41,34.9,normal
