fault_id,source_dataset,scenario_id,fault_type_raw,fault_type_cn,fault_level,affected_kpis,start_time,end_time,station_id,fault_longitude,fault_latitude,truth_longitude,truth_latitude,localization_error_m,diagnosis_text
TS_anomalous__jammer__File_00000,TelecomTS,anomalous__jammer__File,Jamming,信道干扰,严重,DL_BLER;UL_BLER;UL_MCS;TX_Bytes;RX_Bytes,2025-01-01 00:05:33.000,2025-01-01 00:05:45.700,TS_ZONE_A,,,,,,"**Diagnose Summary:** **Issue:** Severe communication degradation in the wireless network due to external interference. **Symptoms:** DL_BLER and UL_BLER increase, UL_MCS decreases, and TX_Bytes and RX_Bytes experience drops. **Root Cause:** Active jammer generating continuous radio interference and disrupting normal wireless transmissions. **Resolution:** Identify, locate, and isolate the jammer to eliminate the interference, and implement measures to enhance network resilience against future jamming."
TS_anomalous__jammer__File_00001,TelecomTS,anomalous__jammer__File,Jamming,信道干扰,严重,DL_BLER;UL_BLER;UL_MCS;TX_Bytes;RX_Bytes,2025-01-01 00:12:18.300,2025-01-01 00:12:31.000,TS_ZONE_A,,,,,,"**Diagnose Summary:** **Issue:** Severe communication degradation in the wireless network due to external interference. **Symptoms:** DL_BLER and UL_BLER increase, UL_MCS decreases, and TX_Bytes and RX_Bytes experience drops. **Root Cause:** Active jammer generating continuous radio interference and disrupting normal wireless transmissions. **Resolution:** Identify, locate, and isolate the jammer to eliminate the interference, and implement measures to enhance network resilience against future jamming."
TS_anomalous__jammer__File_00002,TelecomTS,anomalous__jammer__File,Jamming,信道干扰,严重,DL_BLER;UL_BLER;UL_MCS;TX_Bytes;RX_Bytes,2025-01-01 00:04:53.000,2025-01-01 00:05:05.700,TS_ZONE_A,,,,,,"**Diagnose Summary:** **Issue:** Severe communication degradation in the wireless network due to external interference. **Symptoms:** DL_BLER and UL_BLER increase, UL_MCS decreases, and TX_Bytes and RX_Bytes experience drops. **Root Cause:** Active jammer generating continuous radio interference and disrupting normal wireless transmissions. **Resolution:** Identify, locate, and isolate the jammer to eliminate the interference, and implement measures to enhance network resilience against future jamming."
TS_anomalous__jammer__File_00003,TelecomTS,anomalous__jammer__File,Jamming,信道干扰,严重,DL_BLER;UL_BLER;UL_MCS;TX_Bytes;RX_Bytes,2025-01-01 00:16:08.300,2025-01-01 00:16:21.000,TS_ZONE_A,,,,,,"**Diagnose Summary:** **Issue:** Severe communication degradation in the wireless network due to external interference. **Symptoms:** DL_BLER and UL_BLER increase, UL_MCS decreases, and TX_Bytes and RX_Bytes experience drops. **Root Cause:** Active jammer generating continuous radio interference and disrupting normal wireless transmissions. **Resolution:** Identify, locate, and isolate the jammer to eliminate the interference, and implement measures to enhance network resilience against future jamming."
TS_anomalous__jammer__File_00004,TelecomTS,anomalous__jammer__File,Jamming,信道干扰,严重,DL_BLER;UL_BLER;UL_MCS;TX_Bytes;RX_Bytes,2025-01-01 00:00:53.000,2025-01-01 00:01:05.700,TS_ZONE_A,,,,,,"**Diagnose Summary:** **Issue:** Severe communication degradation in the wireless network due to external interference. **Symptoms:** DL_BLER and UL_BLER increase, UL_MCS decreases, and TX_Bytes and RX_Bytes experience drops. **Root Cause:** Active jammer generating continuous radio interference and disrupting normal wireless transmissions. **Resolution:** Identify, locate, and isolate the jammer to eliminate the interference, and implement measures to enhance network resilience against future jamming."
TS_anomalous__jammer__File_00005,TelecomTS,anomalous__jammer__File,Jamming,信道干扰,严重,DL_BLER;UL_BLER;UL_MCS;TX_Bytes;RX_Bytes,2025-01-01 00:02:13.000,2025-01-01 00:02:25.700,TS_ZONE_A,,,,,,"**Diagnose Summary:** **Issue:** Severe communication degradation in the wireless network due to external interference. **Symptoms:** DL_BLER and UL_BLER increase, UL_MCS decreases, and TX_Bytes and RX_Bytes experience drops. **Root Cause:** Active jammer generating continuous radio interference and disrupting normal wireless transmissions. **Resolution:** Identify, locate, and isolate the jammer to eliminate the interference, and implement measures to enhance network resilience against future jamming."
TS_anomalous__jammer__File_00006,TelecomTS,anomalous__jammer__File,Jamming,信道干扰,严重,DL_BLER;UL_BLER;UL_MCS;TX_Bytes;RX_Bytes,2025-01-01 00:14:38.300,2025-01-01 00:14:51.000,TS_ZONE_A,,,,,,"**Diagnose Summary:** **Issue:** Severe communication degradation in the wireless network due to external interference. **Symptoms:** DL_BLER and UL_BLER increase, UL_MCS decreases, and TX_Bytes and RX_Bytes experience drops. **Root Cause:** Active jammer generating continuous radio interference and disrupting normal wireless transmissions. **Resolution:** Identify, locate, and isolate the jammer to eliminate the interference, and implement measures to enhance network resilience against future jamming."
TS_anomalous__jammer__File_00007,TelecomTS,anomalous__jammer__File,Jamming,信道干扰,严重,DL_BLER;UL_BLER;UL_MCS;TX_Bytes;RX_Bytes,2025-01-01 00:07:03.000,2025-01-01 00:07:15.700,TS_ZONE_A,,,,,,"**Diagnose Summary:** **Issue:** Severe communication degradation in the wireless network due to external interference. **Symptoms:** DL_BLER and UL_BLER increase, UL_MCS decreases, and TX_Bytes and RX_Bytes experience drops. **Root Cause:** Active jammer generating continuous radio interference and disrupting normal wireless transmissions. **Resolution:** Identify, locate, and isolate the jammer to eliminate the interference, and implement measures to enhance network resilience against future jamming."
TS_anomalous__jammer__File_00008,TelecomTS,anomalous__jammer__File,Jamming,信道干扰,严重,DL_BLER;UL_BLER;UL_MCS;TX_Bytes;RX_Bytes,2025-01-01 00:09:08.300,2025-01-01 00:09:21.000,TS_ZONE_A,,,,,,"**Diagnose Summary:** **Issue:** Severe communication degradation in the wireless network due to external interference. **Symptoms:** DL_BLER and UL_BLER increase, UL_MCS decreases, and TX_Bytes and RX_Bytes experience drops. **Root Cause:** Active jammer generating continuous radio interference and disrupting normal wireless transmissions. **Resolution:** Identify, locate, and isolate the jammer to eliminate the interference, and implement measures to enhance network resilience against future jamming."
TS_anomalous__jammer__File_00009,TelecomTS,anomalous__jammer__File,Jamming,信道干扰,严重,DL_BLER;UL_BLER;UL_MCS;TX_Bytes;RX_Bytes,2025-01-01 00:10:28.300,2025-01-01 00:10:41.000,TS_ZONE_A,,,,,,"**Diagnose Summary:** **Issue:** Severe communication degradation in the wireless network due to external interference. **Symptoms:** DL_BLER and UL_BLER increase, UL_MCS decreases, and TX_Bytes and RX_Bytes experience drops. **Root Cause:** Active jammer generating continuous radio interference and disrupting normal wireless transmissions. **Resolution:** Identify, locate, and isolate the jammer to eliminate the interference, and implement measures to enhance network resilience against future jamming."
