location_sample_id,scenario_id,timestamp,longitude,latitude,serving_pci,rsrp,sinr,throughput_mbps,rb_num,gps_speed_kmh,nearest_station_id,nearest_station_distance_m,root_cause,fault_type_cn
LOC_ID_1P7PJMPV0R_00,ID_1P7PJMPV0R,2025-05-07 15:23:52.000000,128.18817,32.579273,712,-77,15.93,1351.25,210.91,1,KG_0034038_4_712,18.744167,C2,信号中断/覆盖退化
LOC_ID_1P7PJMPV0R_01,ID_1P7PJMPV0R,2025-05-07 15:23:53.000000,128.18814,32.579223,71,-80.97,6.6,366.57,211.23,2,KG_0033164_27_71,2768.5189,C2,信号中断/覆盖退化
LOC_ID_1P7PJMPV0R_02,ID_1P7PJMPV0R,2025-05-07 15:23:54.000000,128.18812,32.579174,71,-85.5,1.81,334,210.99,16,KG_0033164_27_71,2771.0035,C2,信号中断/覆盖退化
LOC_ID_1P7PJMPV0R_03,ID_1P7PJMPV0R,2025-05-07 15:23:55.000000,128.1881,32.579113,71,-88.21,5.4,431.94,195.26,14,KG_0033164_27_71,2772.7425,C2,信号中断/覆盖退化
LOC_ID_1P7PJMPV0R_04,ID_1P7PJMPV0R,2025-05-07 15:23:56.000000,128.18809,32.579075,71,-78.45,13.59,566.34,209,19,KG_0033164_27_71,2774.421,C2,信号中断/覆盖退化
LOC_ID_1P7PJMPV0R_05,ID_1P7PJMPV0R,2025-05-07 15:23:57.000000,128.18807,32.579033,258,-77.45,11.45,1308.74,204.95,22,KG_0034038_2_258,20.912933,C2,信号中断/覆盖退化
LOC_ID_1P7PJMPV0R_06,ID_1P7PJMPV0R,2025-05-07 15:23:58.000000,128.18805,32.579002,258,-81.66,10.06,1310.14,210.13,16,KG_0034038_2_258,24.18289,C2,信号中断/覆盖退化
LOC_ID_1P7PJMPV0R_07,ID_1P7PJMPV0R,2025-05-07 15:23:59.000000,128.18807,32.578995,258,-79.13,16.32,1023.36,208.06,26,KG_0034038_2_258,22.742568,C2,信号中断/覆盖退化
LOC_ID_1P7PJMPV0R_08,ID_1P7PJMPV0R,2025-05-07 15:24:00.000000,128.18804,32.578984,258,-74.09,19.8,770.83,207.07,33,KG_0034038_2_258,26.359266,C2,信号中断/覆盖退化
LOC_ID_1P7PJMPV0R_09,ID_1P7PJMPV0R,2025-05-07 15:24:01.000000,128.18804,32.578984,258,-71.09,19.62,1014.75,205.57,25,KG_0034038_2_258,26.359266,C2,信号中断/覆盖退化
LOC_ID_8B1D1TUTFA_00,ID_8B1D1TUTFA,2025-05-07 16:22:16.000000,128.18876,32.580933,71,-86.03,17.36,850.53,210.39,17,KG_0033164_27_71,36.549869,C1,信号中断/覆盖退化
LOC_ID_8B1D1TUTFA_01,ID_8B1D1TUTFA,2025-05-07 16:22:17.000000,128.18877,32.580926,71,-85.42,14.09,1202.59,210.94,20,KG_0033164_27_71,35.825849,C1,信号中断/覆盖退化
LOC_ID_8B1D1TUTFA_02,ID_8B1D1TUTFA,2025-05-07 16:22:18.000000,128.18878,32.580914,71,-82.24,11.57,520.58,211.09,22,KG_0033164_27_71,35.348261,C1,信号中断/覆盖退化
LOC_ID_8B1D1TUTFA_03,ID_8B1D1TUTFA,2025-05-07 16:22:19.000000,128.18879,32.580895,71,-87.98,11.32,490.28,210.95,3,KG_0033164_27_71,34.285194,C1,信号中断/覆盖退化
LOC_ID_8B1D1TUTFA_04,ID_8B1D1TUTFA,2025-05-07 16:22:20.000000,128.18878,32.580865,307,-86.82,14.64,388.58,210.44,5,KG_0033164_26_307,39.392643,C1,信号中断/覆盖退化
LOC_ID_8B1D1TUTFA_05,ID_8B1D1TUTFA,2025-05-07 16:22:21.000000,128.18876,32.580476,307,-77.67,10.16,482.09,210.84,21,KG_0033164_26_307,68.576638,C1,信号中断/覆盖退化
LOC_ID_8B1D1TUTFA_06,ID_8B1D1TUTFA,2025-05-07 16:22:22.000000,128.18875,32.580766,307,-86.21,6.89,1170.78,198.41,17,KG_0033164_26_307,46.618795,C1,信号中断/覆盖退化
LOC_ID_8B1D1TUTFA_07,ID_8B1D1TUTFA,2025-05-07 16:22:23.000000,128.18872,32.580697,307,-80.95,7.08,1212.16,205.57,33,KG_0033164_26_307,53.2533,C1,信号中断/覆盖退化
LOC_ID_8B1D1TUTFA_08,ID_8B1D1TUTFA,2025-05-07 16:22:24.000000,128.1887,32.580618,307,-85.33,6.35,1166.87,206.56,24,KG_0033164_26_307,59.963009,C1,信号中断/覆盖退化
LOC_ID_8B1D1TUTFA_09,ID_8B1D1TUTFA,2025-05-07 16:22:25.000000,128.18867,32.580538,307,-76.77,12.71,1016.05,209.11,23,KG_0033164_26_307,68.221844,C1,信号中断/覆盖退化
